name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sofia Rotaru,Q43137,Ukraine,Marshyntsi,Soviet Union,https://en.wikipedia.org/wiki/Sofia_Rotaru
Ruslana Lyzhychko,Q129119,Ukraine,Lviv,Soviet Union,https://en.wikipedia.org/wiki/Ruslana
Ivan Mazepa,Q165419,Ukraine,Mazepintsi,Polish–Lithuanian Commonwealth,https://en.wikipedia.org/wiki/Ivan_Mazepa
Simon Wiesenthal,Q49086,Ukraine,Buchach,Austria,https://en.wikipedia.org/wiki/Simon_Wiesenthal
Vladimir Horowitz,Q192506,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Vladimir_Horowitz
Ignacy Jan Paderewski,Q191957,Ukraine,Kurilivka,Warsaw,https://en.wikipedia.org/wiki/Ignacy_Jan_Paderewski
Julia Sanina,Q21573827,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Julia_Sanina
Ani Lorak,Q237081,Ukraine,Kitsman,Russia,https://en.wikipedia.org/wiki/Ani_Lorak
Hryhorii Skovoroda,Q336803,Ukraine,Chornukhy,Russian Empire,https://en.wikipedia.org/wiki/Hryhorii_Skovoroda
Tayanna,Q28826885,Ukraine,Chernivtsi,Ukraine,https://en.wikipedia.org/wiki/Tayanna
Sviatoslav Richter,Q124890,Ukraine,Zhytomyr,Russia,https://en.wikipedia.org/wiki/Sviatoslav_Richter
Natasha Korolyova,Q1076041,Ukraine,Kyiv,Russia,https://en.wikipedia.org/wiki/Natasha_Korolyova
David Oistrakh,Q47120,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/David_Oistrakh
Iryna Bilyk,Q2662849,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Iryna_Bilyk
Verka Serduchka,Q275875,Ukraine,Poltava,Ukraine,https://en.wikipedia.org/wiki/Verka_Serduchka
Lyudmila Gurchenko,Q68537,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Lyudmila_Gurchenko
Karol Szymanowski,Q295400,Ukraine,Tymoshivka,Zakopane,https://en.wikipedia.org/wiki/Karol_Szymanowski
Serhiy Zhadan,Q458209,Ukraine,Starobilsk,Soviet Union,https://en.wikipedia.org/wiki/Serhiy_Zhadan
Zlata Ognevich,Q1574590,Ukraine,Kryvyi Rih,Ukraine,https://en.wikipedia.org/wiki/Zlata_Ognevich
Mykola Lysenko,Q172425,Ukraine,Hrynky,Kyiv,https://en.wikipedia.org/wiki/Mykola_Lysenko
Władysław Tarnowski,Q93817,Ukraine,Voroblevychi,Austria–Hungary,https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Tarnowski
Borys Liatoshynsky,Q504426,Ukraine,Zhytomyr,Russian Empire,https://en.wikipedia.org/wiki/Borys_Lyatoshynsky
Svetlana Loboda,Q209926,Ukraine,Irpin,Ukraine,https://en.wikipedia.org/wiki/Svetlana_Loboda
Sviatoslav Vakarchuk,Q2622781,Ukraine,Mukachevo,Ukraine,https://en.wikipedia.org/wiki/Sviatoslav_Vakarchuk
Isaac Stern,Q311317,Ukraine,Kremenets,Western Addition,https://en.wikipedia.org/wiki/Isaac_Stern
Mariya Yaremchuk,Q4525785,Ukraine,Chernivtsi,Ukraine,https://en.wikipedia.org/wiki/Mariya_Yaremchuk
Dmytro Bortnianskyi,Q316505,Ukraine,Hlukhiv,Russian Empire,https://en.wikipedia.org/wiki/Dmitry_Bortniansky
Valentyn Sylvestrov,Q706765,Ukraine,Kyiv,Berlin,https://en.wikipedia.org/wiki/Valentyn_Silvestrov
Anastasiia Prykhodko,Q156951,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Anastasia_Prikhodko
Vera Brezhneva,Q2329850,Ukraine,Kamyanske,Ukraine,https://en.wikipedia.org/wiki/Vera_Brezhneva
Gaitana,Q209845,Ukraine,Kyiv,Republic of the Congo,https://en.wikipedia.org/wiki/Gaitana_(singer)
