artist,country,song_title,year,original_lang,translated,compound,positive,negative,neutral,period
Jamala,Ukraine,1944,2016,en,False,0.9686,0.152,0.05,0.798,pre
Jamala,Ukraine,Крила (Wings),2018,uk,True,-0.9826,0.065,0.141,0.794,pre
Jamala,Ukraine,Обещание (Promise),2015,ru,True,0.9931,0.352,0.074,0.574,pre
Jamala,Ukraine,Маменькин сынок (Mama’s Boy),2011,ru,True,-0.984,0.06,0.152,0.788,pre
Jamala,Ukraine,I Believe In U,2017,en,False,-0.2977,0.125,0.12,0.755,pre
Jamala,Ukraine,Иные (Others),2015,ru,True,0.7184,0.088,0.058,0.854,pre
Jamala,Ukraine,Smile,2010,en,False,0.9977,0.408,0.04,0.552,pre
Jamala,Ukraine,History Repeating,2011,en,False,0.9527,0.148,0.063,0.789,pre
Jamala,Ukraine,Кличу (I’m calling),2024,uk,True,0.6273,0.065,0.069,0.866,post
Jamala,Ukraine,Кактус (Cactus),2013,ru,True,0.9953,0.2,0.059,0.741,pre
Jamala,Ukraine,Sister’s Lullaby,2015,en,False,0.9974,0.385,0.071,0.545,pre
Jamala,Ukraine,I’m Like a Bird,2013,en,False,0.8093,0.181,0.113,0.706,pre
Jamala,Ukraine,Я люблю тебя (I Love You),2012,ru,True,0.994,0.263,0.028,0.709,pre
Jamala,Ukraine,Шлях додому (Way To Home),2015,uk,True,-0.8625,0.027,0.075,0.898,pre
Jamala,Ukraine,У осени твои глаза (Autumn Has Your Eyes),2013,ru,True,0.989,0.194,0.11,0.696,pre
Jamala,Ukraine,"It’s Me, Jamala",2010,en,False,0.9801,0.149,0.027,0.823,pre
Jamala,Ukraine,Thank You,2014,en,False,0.9994,0.488,0.032,0.479,pre
Jamala,Ukraine,"Thank you, Stranger",2022,en,False,0.9816,0.213,0.032,0.755,post
Jamala,Ukraine,Заплуталась (Confused),2014,uk,True,0.9795,0.229,0.079,0.693,pre
Jamala,Ukraine,Çalbaş Bora,2023,tr,True,-0.9528,0.0,0.218,0.782,post
Kalush Orchestra,Ukraine,Ushme Uturbe,2023,en,False,-0.9812,0.067,0.136,0.797,post
Kalush Orchestra,Ukraine,Нумо козаки (Numo Kozaky),2022,uk,True,0.6054,0.107,0.085,0.808,post
Kalush Orchestra,Ukraine,Коли (When),2024,uk,True,0.9964,0.222,0.036,0.743,post
Kalush Orchestra,Ukraine,Штомбер Вомбер (Shtomber Womber),2021,uk,True,0.985,0.187,0.077,0.737,pre
Kalush Orchestra,Ukraine,Shchedryi Vechir,2023,uk,True,0.9986,0.309,0.036,0.655,post
Okean Elzy,Ukraine,Обійми (Hug),2013,uk,True,0.995,0.417,0.089,0.494,pre
Okean Elzy,Ukraine,Без бою (Without a Fight),2005,uk,True,0.8176,0.09,0.052,0.858,pre
Okean Elzy,Ukraine,На небі (In the sky),2013,uk,True,0.9986,0.308,0.012,0.68,pre
Okean Elzy,Ukraine,Я так хочу (I want to),2010,uk,True,0.9797,0.163,0.036,0.801,pre
Okean Elzy,Ukraine,Не твоя війна (Not Your War),2015,uk,True,0.9655,0.138,0.033,0.829,pre
