artist,country,song_title,year,compound,period
DAM,Palestine,Who`s the Terrorist ( مين إرهابي ),2008,-0.9998,pre
Pussy Riot,Russia,RAGE,2021,-0.9997,pre
DDT,Russia,Blue Hair Crime,,-0.9997,post
Tamer Nafar,Palestine,Mi Ha’terrorist? - ?מי הטרוריסט,2001,-0.9997,pre
IC3PEAK,Russia,TRRST,,-0.9997,post
Boombox,Ukraine,Fatal Attraction,2021,-0.999,pre
Noize MC,Russia,Устрой дестрой (Make Destroy),2010,-0.999,pre
Pussy Riot,Russia,HATEFUCK,2022,-0.9985,post
Yehuda Poliker,Israel,Pahot Aval Ko’ev - פחות אבל כואב,1990,-0.9983,pre
Alyona Alyona,Ukraine,Dym,2021,-0.9982,pre
Pussy Riot,Russia,SEXIST,2021,-0.9982,pre
Warda Al-Jazairia,Syria,Nar El Ghera - نار الغيرة,,-0.9982,post
Subliminal,Israel,Peace In The Middle East,2011,-0.9981,pre
Boombox,Ukraine,Reaper,2021,-0.998,pre
DAM,Palestine,Meen Erhabe (Who’s the Terrorist?) [English Version],2001,-0.9979,pre
Noize MC,Russia,Чайлдфри (Childfree),2016,-0.9978,pre
George Wassouf,Syria,Sehert El Liel - سهرت الليل,2004,-0.9978,pre
Pussy Riot,Russia,RIOT,2020,-0.9977,pre
Oxxxymiron,Russia,THE STORY OF ALISHER,2022,-0.9974,post
IC3PEAK,Russia,Грустная сука (Sad Bitch),,-0.9972,post
