KEPT       | en       | Ukraine    | Jamala — 1944
TRANSLATED | uk       | Ukraine    | Jamala — Крила (Wings)
TRANSLATED | ru       | Ukraine    | Jamala — Обещание (Promise)
TRANSLATED | ru       | Ukraine    | Jamala — Маменькин сынок (Mama’s Boy)
KEPT       | en       | Ukraine    | Jamala — I Believe In U
TRANSLATED | ru       | Ukraine    | Jamala — Иные (Others)
KEPT       | en       | Ukraine    | Jamala — Smile
KEPT       | en       | Ukraine    | Jamala — History Repeating
TRANSLATED | uk       | Ukraine    | Jamala — Кличу (I’m calling)
TRANSLATED | ru       | Ukraine    | Jamala — Кактус (Cactus)
KEPT       | en       | Ukraine    | Jamala — Sister’s Lullaby
KEPT       | en       | Ukraine    | Jamala — I’m Like a Bird
TRANSLATED | ru       | Ukraine    | Jamala — Я люблю тебя (I Love You)
TRANSLATED | uk       | Ukraine    | Jamala — Шлях додому (Way To Home)
TRANSLATED | ru       | Ukraine    | Jamala — У осени твои глаза (Autumn Has Your Eyes)
KEPT       | en       | Ukraine    | Jamala — It’s Me, Jamala
KEPT       | en       | Ukraine    | Jamala — Thank You
KEPT       | en       | Ukraine    | Jamala — Thank you, Stranger
TRANSLATED | uk       | Ukraine    | Jamala — Заплуталась (Confused)
TRANSLATED | tr       | Ukraine    | Jamala — Çalbaş Bora
KEPT       | en       | Ukraine    | Kalush Orchestra — Ushme Uturbe
TRANSLATED | uk       | Ukraine    | Kalush Orchestra — Нумо козаки (Numo Kozaky)
TRANSLATED | uk       | Ukraine    | Kalush Orchestra — Коли (When)
TRANSLATED | uk       | Ukraine    | Kalush Orchestra — Штомбер Вомбер (Shtomber Womber)
TRANSLATED | uk       | Ukraine    | Kalush Orchestra — Shchedryi Vechir
TRANSLATED | uk       | Ukraine    | Okean Elzy — Обійми (Hug)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Без бою (Without a Fight)
TRANSLATED | uk       | Ukraine    | Okean Elzy — На небі (In the sky)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Я так хочу (I want to)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Не твоя війна (Not Your War)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Як ніколи (Like Never Before)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Там, де нас нема (Where We Are Not)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Мукачево (Mukachevo)
TRANSLATED | ru       | Ukraine    | Okean Elzy — Кавачай (Coffeetea)
TRANSLATED | uk       | Ukraine    | Okean Elzy — 2000 миль (Miles)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Коли тебе нема (When you are absent)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Без тебе (Without you)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Стріляй (Shoot)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Місто весни (Spring Town)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Не питай (Don’t Ask)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Квітка (Flower)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Rendez-Vous
TRANSLATED | uk       | Ukraine    | Okean Elzy — Коли ми двоє (When we are together)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Квіти мінних зон (Flowers of minefields)
TRANSLATED | uk       | Ukraine    | Okean Elzy — Відпусти (Let me go)
TRANSLATED | uk       | Ukraine    | Antytila — TDME
TRANSLATED | uk       | Ukraine    | Antytila — Фортеця Бахмут (Bakhmut Fortress)
TRANSLATED | uk       | Ukraine    | Antytila — Лови момент (Catch the moment)
TRANSLATED | uk       | Ukraine    | Antytila — ВДОМА (AT HOME)
TRANSLATED | uk       | Ukraine    | Antytila — Люди як кораблі (People Are Like Boats)
TRANSLATED | uk       | Ukraine    | Antytila — Бери своє (Take what’s yours)
TRANSLATED | uk       | Ukraine    | Antytila — Молоком (With Milk)
TRANSLATED | uk       | Ukraine    | Antytila — ДИВИСЬ У МІЙ ЕКРАН (Look Into My Screen)
TRANSLATED | uk       | Ukraine    | Antytila — HELLO
TRANSLATED | uk       | Ukraine    | Antytila — Ти саме та (You are the one)
TRANSLATED | uk       | Ukraine    | Antytila — Вірила (Believed)
TRANSLATED | uk       | Ukraine    | Antytila — Кіно (Cinema)
TRANSLATED | uk       | Ukraine    | Antytila — Lego
TRANSLATED | uk       | Ukraine    | Antytila — Одинак (Loner)
TRANSLATED | uk       | Ukraine    | Antytila — Все красиво (All is pretty)
TRANSLATED | uk       | Ukraine    | Antytila — Маскарад (Masquerade)
TRANSLATED | uk       | Ukraine    | Antytila — Ів Кусто (Yves Cousteau)
TRANSLATED | uk       | Ukraine    | Antytila — Будувуду (Buduvudou)
TRANSLATED | uk       | Ukraine    | Antytila — Поламані (Broken)
TRANSLATED | uk       | Ukraine    | Antytila — Рожеві діви (Pink girls)
KEPT       | en       | Ukraine    | Boombox — Moon Love
KEPT       | en       | Ukraine    | Boombox — Whisper
KEPT       | en       | Ukraine    | Boombox — People I Know
KEPT       | en       | Ukraine    | Boombox — Alamo
KEPT       | en       | Ukraine    | Boombox — Reaper
KEPT       | en       | Ukraine    | Boombox — Dem Fraid
KEPT       | en       | Ukraine    | Boombox — NEW WIP
KEPT       | en       | Ukraine    | Boombox — B2U
KEPT       | en       | Ukraine    | Boombox — All I Want
