wikidata_id,name,origin_country,month,views
Q107449,Pavel Gililov,Ukraine,2021-08,158
Q107449,Pavel Gililov,Ukraine,2021-09,164
Q107449,Pavel Gililov,Ukraine,2021-10,871
Q107449,Pavel Gililov,Ukraine,2021-11,347
Q107449,Pavel Gililov,Ukraine,2021-12,324
Q107449,Pavel Gililov,Ukraine,2022-01,266
Q107449,Pavel Gililov,Ukraine,2022-02,267
Q107449,Pavel Gililov,Ukraine,2022-03,309
Q107449,Pavel Gililov,Ukraine,2022-04,279
Q107449,Pavel Gililov,Ukraine,2022-05,258
Q107449,Pavel Gililov,Ukraine,2022-06,247
Q107449,Pavel Gililov,Ukraine,2022-07,264
Q107449,Pavel Gililov,Ukraine,2022-08,318
Q107449,Pavel Gililov,Ukraine,2022-09,240
Q107449,Pavel Gililov,Ukraine,2022-10,215
Q107449,Pavel Gililov,Ukraine,2022-11,214
Q107449,Pavel Gililov,Ukraine,2022-12,262
Q107449,Pavel Gililov,Ukraine,2023-01,256
Q107449,Pavel Gililov,Ukraine,2023-02,169
Q107449,Pavel Gililov,Ukraine,2023-03,242
Q107449,Pavel Gililov,Ukraine,2023-04,240
Q107449,Pavel Gililov,Ukraine,2023-05,192
Q107449,Pavel Gililov,Ukraine,2023-06,250
Q107449,Pavel Gililov,Ukraine,2023-07,202
Q107449,Pavel Gililov,Ukraine,2023-08,241
Q107449,Pavel Gililov,Ukraine,2023-09,323
Q107449,Pavel Gililov,Ukraine,2023-10,210
Q107449,Pavel Gililov,Ukraine,2023-11,233
Q107449,Pavel Gililov,Ukraine,2023-12,246
Q385608,Zara Levina,Ukraine,2021-01,272
Q385608,Zara Levina,Ukraine,2021-02,188
Q385608,Zara Levina,Ukraine,2021-03,349
Q385608,Zara Levina,Ukraine,2021-04,235
Q385608,Zara Levina,Ukraine,2021-05,326
Q385608,Zara Levina,Ukraine,2021-06,239
Q385608,Zara Levina,Ukraine,2021-07,192
Q385608,Zara Levina,Ukraine,2021-08,263
Q385608,Zara Levina,Ukraine,2021-09,251
Q385608,Zara Levina,Ukraine,2021-10,226
Q385608,Zara Levina,Ukraine,2021-11,253
Q385608,Zara Levina,Ukraine,2021-12,184
Q385608,Zara Levina,Ukraine,2022-01,284
Q385608,Zara Levina,Ukraine,2022-02,383
Q385608,Zara Levina,Ukraine,2022-03,690
Q385608,Zara Levina,Ukraine,2022-04,468
Q385608,Zara Levina,Ukraine,2022-05,377
Q385608,Zara Levina,Ukraine,2022-06,326
Q385608,Zara Levina,Ukraine,2022-07,316
Q385608,Zara Levina,Ukraine,2022-08,285
Q385608,Zara Levina,Ukraine,2022-09,248
Q385608,Zara Levina,Ukraine,2022-10,219
Q385608,Zara Levina,Ukraine,2022-11,303
Q385608,Zara Levina,Ukraine,2022-12,200
Q385608,Zara Levina,Ukraine,2023-01,271
Q385608,Zara Levina,Ukraine,2023-02,307
Q385608,Zara Levina,Ukraine,2023-03,409
Q385608,Zara Levina,Ukraine,2023-04,232
Q385608,Zara Levina,Ukraine,2023-05,269
Q385608,Zara Levina,Ukraine,2023-06,220
Q385608,Zara Levina,Ukraine,2023-07,211
Q385608,Zara Levina,Ukraine,2023-08,294
Q385608,Zara Levina,Ukraine,2023-09,201
Q385608,Zara Levina,Ukraine,2023-10,268
Q385608,Zara Levina,Ukraine,2023-11,220
Q385608,Zara Levina,Ukraine,2023-12,276
Q4161649,Dimal,Ukraine,2023-08,57
Q4161649,Dimal,Ukraine,2023-09,220
Q4161649,Dimal,Ukraine,2023-10,136
Q4161649,Dimal,Ukraine,2023-11,107
Q4161649,Dimal,Ukraine,2023-12,131
Q3553746,Valery Sigalevitch,Ukraine,2021-01,121
Q3553746,Valery Sigalevitch,Ukraine,2021-02,126
Q3553746,Valery Sigalevitch,Ukraine,2021-03,121
Q3553746,Valery Sigalevitch,Ukraine,2021-04,117
Q3553746,Valery Sigalevitch,Ukraine,2021-05,118
Q3553746,Valery Sigalevitch,Ukraine,2021-06,122
Q3553746,Valery Sigalevitch,Ukraine,2021-07,119
Q3553746,Valery Sigalevitch,Ukraine,2021-08,127
Q3553746,Valery Sigalevitch,Ukraine,2021-09,132
Q3553746,Valery Sigalevitch,Ukraine,2021-10,113
Q3553746,Valery Sigalevitch,Ukraine,2021-11,95
