input_artist_name,candidate_rank,matched_name,mbid,musicbrainz_country,type,disambiguation,score,match_status,notes,source_name,source_wikidata_id,source_origin_country,source_birth_place,source_current_residence,source_wiki_url
Anatoliy Solovyanenko,1,Anatoliy Frolov,28ee0887-1d81-423a-93ee-e0d10a02fcdc,,,,100,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,2,Anatoliy Nesterenko,4afb8890-e14e-480f-b260-ff70ce61d10a,,Person,,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,3,Anatoliy Dolesko,d2f88dcb-bf5f-4ec9-ae7e-c12e8c87b5d2,UA,Person,,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,4,Anatoliy Kurakin,bcdec0e4-c3db-47ca-b3c8-3b74a3e7c81d,,,,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,5,Anatoliy Evdokimenko,6b7c6432-b3d5-4e52-ac7e-29d8b5a71705,UA,Person,,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,6,Anatoliy Khara,23977aa6-6de4-4b30-80a2-d4148b5f4734,UA,Person,,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,7,Anatoliy Trofimov,1e12c027-7b3a-4d52-8b57-6f0c59aa4a78,,,,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,8,Anatoliy Kozin,c7578e6d-d8b0-4950-ae3f-df6afb18a2a7,,Person,producer,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,9,Anatoliy Vyacheslavov,607a229e-c608-4bba-aa88-00c81d42fc6e,GB,Person,British saxophonist,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Anatoliy Solovyanenko,10,Anatoliy Shemuratov,411d8962-39bf-4740-9bb5-2415fc981a71,,Person,,99,candidate,Returned by MusicBrainz search.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Stefania Turkevych-Lukiianovych,1,Stefania,8cbdf0c5-38f1-4168-9a1f-acb00eadf1d8,NL,Person,Dutch-Greek singer Stefania Liberakakis,100,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,2,Stefania,16622f5e-9c45-4e5c-b943-988df3c0e24d,DE,Person,German singer Maria Stefania,99,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,3,Stefania,e28fda2e-4012-4ce7-bc2d-92f94780948c,IT,Person,Italian singer Stefania Tozzi,98,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,4,Stefania Passamonte,5cd3b899-e750-49b9-8867-abc2f9558e94,,Person,,92,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,5,Стефанія Туркевич,7e38f97b-8679-4ed0-898d-37a776f322dc,UA,Person,,91,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,6,Stefania Rava,73775d0b-3b71-4c19-9efa-d9617f54438c,IT,Person,,90,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,7,Stefania Tallini,2c71fd9f-7722-4318-aaca-70ccc4418196,,Person,"Italian jazz pianist, composer and arranger",90,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,8,Stefania Redaelli,7e794287-52fb-4b55-a5c3-72287d945e32,,Person,pianist,88,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,9,Stefania Kaye,3a2ed6d1-cb11-4d27-9187-1ce4ca648a71,,Person,,88,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Stefania Turkevych-Lukiianovych,10,Stefania Toczyska,0ac4f2ff-b1b9-40a7-8a03-b246136bd08b,PL,Person,mezzo-soprano,87,candidate,Returned by MusicBrainz search.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Milla Jovovich,1,Milla Jovovich,39f96cb8-fe7e-499f-820c-676267b617e6,US,Person,,100,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,2,Natalia Jovovich,5df2d759-b2ce-4665-81e0-768693b45071,,Person,,37,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,3,Milla,ad1ce53d-9ea8-4188-84b6-5920f348099e,,,Beats and Styles' Dance Dance Dance featured artist,37,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,4,Milla,2860930a-7bec-4a12-a94c-38ef30fe06ae,US,Person,US rapper,37,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,5,Milla,875c5319-5db3-4399-b813-23d6e25798a2,CH,Person,Milla Cécile Besson,37,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,6,Milla,5fe806a2-012b-40d1-a9b4-f3829d15262f,EE,Group,Estonian artist,36,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,7,Milla,cdd54ef4-a519-4780-8327-9aba30af2395,BE,Person,Belgian,36,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,8,Milla,412d9a31-997a-4aad-9fcf-9d41f5c6c56b,JP,Person,Japanese mixer,36,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,9,Semilla,893f600c-fc84-460b-9908-a21a185baf75,,Group,Mexican Metal Band,34,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Milla Jovovich,10,Milla Kay,08361b99-0cd4-4dc6-8e3a-71af93ea5f22,,Person,,33,candidate,Returned by MusicBrainz search.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Sergei Prokofiev,1,Сергей Сергеевич Прокофьев,0e43fe9d-c472-4b62-be9e-55f971a023e1,RU,Person,Russian composer,100,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,2,Сергей Васильевич Рахманинов,44b16e44-da77-4580-b851-0d765904573e,RU,Person,Russian composer,60,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,3,Gabriel Prokofiev,5b2384ba-0c50-46ee-8e3d-7c208dd96060,GB,Person,Russian-British composer and DJ,57,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,4,Lina Prokofiev,036eb2e2-d342-4194-bfb9-d6fdf2a91090,ES,Person,,55,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,5,Сергей Лукьяненко,b618dff4-dafd-4fea-be54-680046f1c281,RU,Person,Russian writer Sergei Lukyanenko,54,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,6,Oleg Prokofiev,6cd2bb3f-2d0f-44c3-8dec-c0f396e78ca5,RU,Person,,54,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,7,DJ Prokofiev,f33994f7-5b15-43a8-abd4-93c6f4e4b29c,,,drum & bass artist,54,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,8,Vladamir Prokofiev,0ec9f073-2e0f-4301-8813-1ff97f6f0791,,Person,,54,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,9,Sergei,0329677e-41d6-452d-b207-60bdfd3c1b89,IL,Person,Artist from Israel,53,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sergei Prokofiev,10,Sergei,d284a7e7-4e73-40c8-8e6b-a450cd8f52c6,FI,Person,Finnish artist Keijo Räikkönen,53,candidate,Returned by MusicBrainz search.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sofia Rotaru,1,Руслан Евдокименко,d747acf7-eb40-454b-8dac-0dcf9124dff9,UA,Person,Sofia Rotaru's son,100,candidate,Returned by MusicBrainz search.,Sofia Rotaru,Q43137,Ukraine,Marshyntsi,Soviet Union,https://en.wikipedia.org/wiki/Sofia_Rotaru
Sofia Rotaru,2,София Ротару,0ac235b8-26bc-403d-8e0b-b5d8d5a284b2,UA,Person,,99,candidate,Returned by MusicBrainz search.,Sofia Rotaru,Q43137,Ukraine,Marshyntsi,Soviet Union,https://en.wikipedia.org/wiki/Sofia_Rotaru
