input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,score,match_status,notes,source_name,source_wikidata_id,source_origin_country,source_birth_place,source_current_residence,source_wiki_url
Anatoliy Solovyanenko,Anatoliy Frolov,28ee0887-1d81-423a-93ee-e0d10a02fcdc,,,,100,review_needed,Candidate needs manual review.,Anatoliy Solovyanenko,Q488006,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Anatoliy_Solovianenko
Stefania Turkevych-Lukiianovych,Stefania,8cbdf0c5-38f1-4168-9a1f-acb00eadf1d8,NL,Person,Dutch-Greek singer Stefania Liberakakis,100,review_needed,Candidate is disambiguated and should be checked manually.,Stefania Turkevych-Lukiianovych,Q12162960,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Stefania_Turkewich
Milla Jovovich,Milla Jovovich,39f96cb8-fe7e-499f-820c-676267b617e6,US,Person,,100,auto_accept,Very high score and near-exact name match.,Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Sergei Prokofiev,Сергей Сергеевич Прокофьев,0e43fe9d-c472-4b62-be9e-55f971a023e1,RU,Person,Russian composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Sofia Rotaru,Руслан Евдокименко,d747acf7-eb40-454b-8dac-0dcf9124dff9,UA,Person,Sofia Rotaru's son,100,review_needed,Candidate is disambiguated and should be checked manually.,Sofia Rotaru,Q43137,Ukraine,Marshyntsi,Soviet Union,https://en.wikipedia.org/wiki/Sofia_Rotaru
Ruslana Lyzhychko,Руслана,2079bf75-db95-4b48-b99d-2b6dd92d29e0,UA,Person,Ukrainian singer Ruslana Lyzhychko,100,review_needed,Candidate is disambiguated and should be checked manually.,Ruslana Lyzhychko,Q129119,Ukraine,Lviv,Soviet Union,https://en.wikipedia.org/wiki/Ruslana
Ivan Mazepa,Mazepa,7bf7748d-20ff-43e9-8de3-3d05863474ea,UA,Group,,100,review_needed,Candidate needs manual review.,Ivan Mazepa,Q165419,Ukraine,Mazepintsi,Polish–Lithuanian Commonwealth,https://en.wikipedia.org/wiki/Ivan_Mazepa
Simon Wiesenthal,Simon Jäger,a8d5807f-6dd9-4967-b2dd-b2c10765b34f,DE,Person,German voice actor,100,review_needed,Candidate is disambiguated and should be checked manually.,Simon Wiesenthal,Q49086,Ukraine,Buchach,Austria,https://en.wikipedia.org/wiki/Simon_Wiesenthal
Vladimir Horowitz,Vladimir Horowitz,81269a28-c616-4e87-8942-a6f8e59b68e4,US,Person,Ukrainian‐American pianist and composer,100,auto_accept,Very high score and near-exact name match.,Vladimir Horowitz,Q192506,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Vladimir_Horowitz
Ignacy Jan Paderewski,Ignacy Jan Paderewski,4a2b8def-5a86-45fd-9c21-31c3356a3774,PL,Person,Polish pianist and composer,100,auto_accept,Very high score and near-exact name match.,Ignacy Jan Paderewski,Q191957,Ukraine,Kurilivka,Warsaw,https://en.wikipedia.org/wiki/Ignacy_Jan_Paderewski
