input_artist_name,input_song_title,seed_artist_mbid,recording_title,recording_mbid,first_date,year,credited_artist_names,credited_artist_mbids,musicbrainz_score,lookup_strategy_used,lookup_status,country,period,source_artist_match_name,source_song_year
Alyona Alyona,Відчиняй (Open Up),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Відчиняй,29aa3581-ea20-4223-8d5e-cecf0c3020c3,2020-08-20,2020,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre,alyona alyona,2018
Alyona Alyona,Голови (Heads),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Голови,ea0b532c-aaae-402d-a005-17e9d4f278a7,2018-11-15,2018,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre,alyona alyona,2018
Alyona Alyona,Залишаю свiй дiм (Leaving my home),1a6993eb-fa5b-42e2-a834-2a9539c53be1,,,,,,,,none,no_match,Ukraine,pre,alyona alyona,2018
Alyona Alyona,Велика й смiшна (Big & Funny),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Велика й смiшна,3b1f0ea1-bd0b-4a81-aea4-8604fdbec97b,2019-04-08,2019,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre,alyona alyona,2019
Alyona Alyona,Завтра (Tomorrow),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Завтра,bf70b1b2-50dd-4491-972f-340fbe7512e7,2019-09-27,2019,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre,alyona alyona,2019
George Wassouf,El Hawa Sultan - الهوى سلطان,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre,George Wassouf,1984
George Wassouf,Helaf El Amar - حلف القمر,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre,George Wassouf,1984
George Wassouf,Sayad Al Touyour - صياد الطيور,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre,George Wassouf,1993
George Wassouf,Kalam Ennas - كلام الناس,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre,George Wassouf,1994
George Wassouf,Laiel El Ashekin - ليل العاشقين,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre,George Wassouf,1995
Jerry Heil,#ОХРАНА_ОТМЄНА (#SECURITY_CANCELLATION),218cf0a9-439e-472e-a2e6-65e208a102ac,#ОХРАНА_ОТМЄНА,ffed6ab1-3bbd-488e-82a8-57d602561bd2,2019-04-10,2019,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,clean_artist_title,matched,Ukraine,pre,Jerry Heil,2019
Jerry Heil,#НЕБЕЙБІ (#NOTBABY),218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,pre,Jerry Heil,2020
Jerry Heil,#ЗДН (#ZDN),218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,pre,Jerry Heil,2021
Jerry Heil,ТУК ТУК ТУК (KNOCK KNOCK KNOCK),218cf0a9-439e-472e-a2e6-65e208a102ac,ТУК ТУК ТУК,e666560b-3c89-4b6b-94ec-eb518751df08,2025-06-16,2025,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,clean_artist_title,matched,Ukraine,pre,Jerry Heil,2021
Jerry Heil,WHEN GOD SHUT THE DOOR,218cf0a9-439e-472e-a2e6-65e208a102ac,WHEN GOD SHUT THE DOOR,d27f591f-e963-446d-bb43-a639e265c867,2025-06-16,2025,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,exact_artist_title,matched,Ukraine,post,Jerry Heil,2022
Noize MC,Выдыхай (Exhale),a0c5737e-da6d-468f-a78e-19146494f1db,Выдыхай,3c32b3e7-f21d-4935-bcac-d9c0df46db68,2008-06-17,2008,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre,Noize MC,2009
Noize MC,Моё море (My Sea),a0c5737e-da6d-468f-a78e-19146494f1db,Моё море,cc13a74d-d4ea-4c74-b77b-8d92d1865429,2009-01-01,2009,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre,Noize MC,2009
Noize MC,Из окна (From the window),a0c5737e-da6d-468f-a78e-19146494f1db,Из Окна,05eb7fdb-883b-40dd-8d6c-655ae68cdd0f,2011-10-16,2011,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre,Noize MC,2010
Noize MC,На Марсе классно (It’s Cool on Mars),a0c5737e-da6d-468f-a78e-19146494f1db,На Марсе Классно,bf8caa89-8e7e-438c-945d-e2c33b2c31f9,2011-07-12,2011,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre,Noize MC,2010
Noize MC,Ты не считаешь (You Don’t Count),a0c5737e-da6d-468f-a78e-19146494f1db,Ты не считаешь,ad698982-96c3-40ec-8de3-4b39754554ff,2010-05-25,2010,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre,Noize MC,2010
Oxxxymiron,Восточный Мордор (East Mordor),fb2a8279-79cf-4849-b692-1ce674709159,Восточный Мордор,5960622c-8db2-4c76-93c9-a7314e5c36e5,2011-09-03,2011,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre,Oxxxymiron,2011
Oxxxymiron,Тентакли (Tentacles),fb2a8279-79cf-4849-b692-1ce674709159,Тентакли,5297c6c2-1795-48d4-a6bb-de256f2ce5a8,2011-09-03,2011,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre,Oxxxymiron,2011
Oxxxymiron,Неваляшка (Tumbler Toy),fb2a8279-79cf-4849-b692-1ce674709159,Неваляшка,5ffdde67-1be2-439b-8693-9fb1890399fa,2013-10-18,2013,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre,Oxxxymiron,2012
Oxxxymiron,Песенка Гремлина (Gremlin’s Song),fb2a8279-79cf-4849-b692-1ce674709159,Песенка гремлина,a8dfb972-b2ad-43c7-b48c-b551134acf2c,2013-10-18,2013,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre,Oxxxymiron,2012
Oxxxymiron,До зимы (Until Winter),fb2a8279-79cf-4849-b692-1ce674709159,До зимы,026b2b2b-c74f-474c-a437-653c632400ff,2013-10-18,2013,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre,Oxxxymiron,2013
Saint Levant,I Guess,015c8b7d-015b-4603-9792-18bb440178ac,I Guess,450964db-2fbd-42d8-927b-4ac9d50ad807,2022-12-11,2022,Saint Levant | Playyard,015c8b7d-015b-4603-9792-18bb440178ac | 40b8dcf2-fdec-4563-8954-cdc7ee7f1ace,100,exact_artist_title,matched,Palestine,pre,Saint Levant,2022
