input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,match_status,source_origin_country,source_birth_place,source_current_residence,source_wikidata_id,source_wiki_url,usable_for_network,triage_reason,promotion_source,promotion_reason
Milla Jovovich,Milla Jovovich,39f96cb8-fe7e-499f-820c-676267b617e6,US,Person,,auto_accept,Ukraine,Kyiv,Los Angeles,Q170576,https://en.wikipedia.org/wiki/Milla_Jovovich,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Vladimir Horowitz,Vladimir Horowitz,81269a28-c616-4e87-8942-a6f8e59b68e4,US,Person,Ukrainian‐American pianist and composer,auto_accept,Ukraine,Kyiv,Russian Empire,Q192506,https://en.wikipedia.org/wiki/Vladimir_Horowitz,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ignacy Jan Paderewski,Ignacy Jan Paderewski,4a2b8def-5a86-45fd-9c21-31c3356a3774,PL,Person,Polish pianist and composer,auto_accept,Ukraine,Kurilivka,Warsaw,Q191957,https://en.wikipedia.org/wiki/Ignacy_Jan_Paderewski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Tayanna,TAYANNA,8fbc8613-30f3-4cfe-a766-701a9449c34b,UA,Person,,auto_accept,Ukraine,Chernivtsi,Ukraine,Q28826885,https://en.wikipedia.org/wiki/Tayanna,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Karol Szymanowski,Karol Szymanowski,e04ef24e-b64e-4ca5-a479-b6bc79042ff5,PL,Person,Polish composer,auto_accept,Ukraine,Tymoshivka,Zakopane,Q295400,https://en.wikipedia.org/wiki/Karol_Szymanowski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Władysław Tarnowski,Władysław Tarnowski,487883b1-8132-43be-9d3e-579ee0b07acf,PL,Person,,auto_accept,Ukraine,Voroblevychi,Austria–Hungary,Q93817,https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Tarnowski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Isaac Stern,Isaac Stern,7d9be72b-ab36-4ce1-8a2c-05bf0f7eb0b4,US,Person,violinist,auto_accept,Ukraine,Kremenets,Western Addition,Q311317,https://en.wikipedia.org/wiki/Isaac_Stern,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Wojciech Kilar,Wojciech Kilar,c8c021ad-6397-4990-b3b7-23d027c5931a,PL,Person,composer,auto_accept,Ukraine,Lviv,Darmstadt,Q319777,https://en.wikipedia.org/wiki/Wojciech_Kilar,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Jerry Heil,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,UA,Person,"Ukrainian singer, participant of Eurovision 2024 (Ukraine)",auto_accept,Ukraine,Vasylkiv,Ukraine,Q56364121,https://en.wikipedia.org/wiki/Jerry_Heil,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alyona Alyona,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,UA,Person,Ukrainian rapper,auto_accept,Ukraine,Kapitanivka,Baryshivska Hromada,Q59358454,https://en.wikipedia.org/wiki/Alyona_Alyona,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Valentina Lisitsa,Valentina Lisitsa,81c9ae67-9eaf-4e47-836a-62b7bbc91664,US,Person,pianist,auto_accept,Ukraine,Kyiv,Russia,Q253233,https://en.wikipedia.org/wiki/Valentina_Lisitsa,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Dimitri Tiomkin,Dimitri Tiomkin,0ed6e209-dd4d-4c47-b6d0-c3a1ae06fef5,UA,Person,,auto_accept,Ukraine,Kremenchuk,Hollywood,Q317033,https://en.wikipedia.org/wiki/Dimitri_Tiomkin,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Mark Taimanov,Mark Taimanov,ad06a983-4bc7-45e2-946b-2bbab1ff8a7f,RU,Person,Russian pianist,auto_accept,Ukraine,Kharkiv,Russia,Q348037,https://en.wikipedia.org/wiki/Mark_Taimanov,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Maria Guleghina,Maria Guleghina,ae573ec4-c3fa-4e25-8708-d189cb65f536,UA,Person,soprano,auto_accept,Ukraine,Odesa,Belarus,Q1031062,https://en.wikipedia.org/wiki/Maria_Guleghina,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alekseev,ALEKSEEV,6cde3d73-2219-4616-befb-8619cc2018d7,UA,Person,Ukrainian singer and songwriter,auto_accept,Ukraine,Kyiv,Ukraine,Q22979243,https://en.wikipedia.org/wiki/Alekseev_(singer),True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Mélovin,MÉLOVIN,878a5563-bfe2-4ff9-a02b-4432790df0f9,UA,Person,Ukrainian singer and songwriter,auto_accept,Ukraine,Odesa,Ukraine,Q25442068,https://en.wikipedia.org/wiki/M%C3%A9lovin,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Mikołaj Rej,Mikołaj Rej,568a246b-cb43-43ef-ac98-22d1939869d8,PL,Person,Polish poet,auto_accept,Ukraine,Zhuravno,Kingdom of Poland,Q458235,https://en.wikipedia.org/wiki/Miko%C5%82aj_Rej,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Maruv,MARUV,23d0ffbe-f372-443e-81b2-28048bdea37f,,Person,,auto_accept,Ukraine,Pavlohrad,Ukraine,Q56310176,https://en.wikipedia.org/wiki/Maruv,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Gregor Piatigorsky,Gregor Piatigorsky,98af165c-cdf5-4033-8c72-c0189d46cdd1,US,Person,cellist,auto_accept,Ukraine,Dnipro,Russian Empire,Q364868,https://en.wikipedia.org/wiki/Gregor_Piatigorsky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Sophie Tucker,Sophie Tucker,1404fcf2-5c92-434b-8d37-7f9b0c8f986f,US,Person,"singer, comedienne, actress & radio personality",auto_accept,Ukraine,Tulchyn,United States,Q152520,https://en.wikipedia.org/wiki/Sophie_Tucker,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Nathan Milstein,Nathan Milstein,0a428818-2623-406e-8453-600dce442e78,US,Person,violinist,auto_accept,Ukraine,Odesa,Ukraine,Q434055,https://en.wikipedia.org/wiki/Nathan_Milstein,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Eduard Romanyuta,Eduard Romanyuta,fbac4156-907e-4e6a-8a1b-62c1576504cd,UA,Person,Ukranian singer-songwriter,auto_accept,Ukraine,Ternopil,Ukraine,Q4397461,https://en.wikipedia.org/wiki/Eduard_Romanyuta,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Max Barskih,MAX BARSKIH,b55854ad-d778-49ce-af7f-74625c8ef308,UA,Person,,auto_accept,Ukraine,Kherson,Russia,Q41272,https://en.wikipedia.org/wiki/Max_Barskih,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alina Pash,Alina Pash,95593341-529e-40e3-ad57-4622f2aacdf8,UA,Person,Ukrainian pop/dance artist,auto_accept,Ukraine,Bushtyno,Ukraine,Q55108431,https://en.wikipedia.org/wiki/Alina_Pash,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
