artist_a_name,artist_a_mbid,artist_b_name,artist_b_mbid,weight,recordings,recording_mbids,recording_titles,recording_years,source_artists,source_countries,source_periods
alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,2,Dai Boh; KUPALA,1d275253-ebed-46f6-92b0-c4a6500d0166; ae28253e-6221-48ae-94c7-3626e910fbd4,Dai Boh (2022); KUPALA (2022),2022; 2022,Alyona Alyona,Ukraine,post
Alina Pash,95593341-529e-40e3-ad57-4622f2aacdf8,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,1,Падло,9311ebd0-d5c6-4a3b-971c-9711586955ca,Падло (2019),2019,Alyona Alyona,Ukraine,pre
alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,Ela,ccc046ca-b523-4b07-92c6-aaa7040008e8,1,KUPALA,ae28253e-6221-48ae-94c7-3626e910fbd4,KUPALA (2022),2022,Alyona Alyona,Ukraine,post
alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,Monika Liu,1db6fa57-63b8-449f-acc1-ea20f696d5ba,1,Dai Boh,1d275253-ebed-46f6-92b0-c4a6500d0166,Dai Boh (2022),2022,Alyona Alyona,Ukraine,post
alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,Olexesh,c4e16e8e-4ab7-4f35-ad58-24c00c76ac84,1,Shalom,8d8c6425-dd35-4ad8-9acd-eb7e4c47d9ab,Shalom (2021),2021,Alyona Alyona,Ukraine,pre
Bashar Murad,5a289a16-e872-4058-ba3d-4e108e46ff5c,Sabreen,bdadce04-f83c-4b53-8179-9b0d2a3f33f7,1,Stone,db3707d3-05c1-4e47-8703-22fd231b65be,Stone (2024),2024,Bashar Murad,Palestine,post
Concha Buika,349076a6-d2e3-4f84-a879-d3f01374a5bf,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,1,Olvídate de mí,c0852ad3-941d-48bc-a822-eb98dfaa2415,Olvídate de mí (2012),2012,Yasmin Levy,Israel,pre
Ela,ccc046ca-b523-4b07-92c6-aaa7040008e8,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,1,KUPALA,ae28253e-6221-48ae-94c7-3626e910fbd4,KUPALA (2022),2022,Alyona Alyona,Ukraine,post
Evgeny Khmara,61d2d352-082a-4d63-8396-044ffad8bdd6,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,1,ВИМОЛИВ,2b72032e-078f-4b7a-9afe-f3f7dcd0e518,ВИМОЛИВ (2025),2025,Jerry Heil,Ukraine,post
Evgeny Khmara,61d2d352-082a-4d63-8396-044ffad8bdd6,MONATIK,c0199391-00f4-483a-aa8a-d1fe27d05dc6,1,ВИМОЛИВ,2b72032e-078f-4b7a-9afe-f3f7dcd0e518,ВИМОЛИВ (2025),2025,Jerry Heil,Ukraine,post
Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,MONATIK,c0199391-00f4-483a-aa8a-d1fe27d05dc6,1,ВИМОЛИВ,2b72032e-078f-4b7a-9afe-f3f7dcd0e518,ВИМОЛИВ (2025),2025,Jerry Heil,Ukraine,post
Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,Monika Liu,1db6fa57-63b8-449f-acc1-ea20f696d5ba,1,Dai Boh,1d275253-ebed-46f6-92b0-c4a6500d0166,Dai Boh (2022),2022,Alyona Alyona,Ukraine,post
Kehlani,3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,1,Allah Yihmeeki,a1cffc1a-b850-4898-98d2-d45fe894a3ee,Allah Yihmeeki (2024),2024,Saint Levant,Palestine,post
MC Abdul,bd49121d-3dd5-46ae-8ef9-69c66fd01bff,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,1,Deira,27d99a7c-c41f-4cd2-b953-532c8d19fbda,Deira (2024),2024,Saint Levant,Palestine,post
Playyard,40b8dcf2-fdec-4563-8954-cdc7ee7f1ace,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,1,I Guess,450964db-2fbd-42d8-927b-4ac9d50ad807,I Guess (2022),2022,Saint Levant,Palestine,pre
