artist_name,artist_mbid,recording_count,weighted_degree,degree
alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,4,6,5
Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,3,6,5
Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,3,3,3
Alina Pash,95593341-529e-40e3-ad57-4622f2aacdf8,1,1,1
Bashar Murad,5a289a16-e872-4058-ba3d-4e108e46ff5c,1,1,1
Concha Buika,349076a6-d2e3-4f84-a879-d3f01374a5bf,1,1,1
Ela,ccc046ca-b523-4b07-92c6-aaa7040008e8,1,2,2
Evgeny Khmara,61d2d352-082a-4d63-8396-044ffad8bdd6,1,2,2
Kehlani,3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9,1,1,1
MC Abdul,bd49121d-3dd5-46ae-8ef9-69c66fd01bff,1,1,1
MONATIK,c0199391-00f4-483a-aa8a-d1fe27d05dc6,1,2,2
Monika Liu,1db6fa57-63b8-449f-acc1-ea20f696d5ba,1,2,2
Olexesh,c4e16e8e-4ab7-4f35-ad58-24c00c76ac84,1,1,1
Playyard,40b8dcf2-fdec-4563-8954-cdc7ee7f1ace,1,1,1
Sabreen,bdadce04-f83c-4b53-8179-9b0d2a3f33f7,1,1,1
Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,1,1,1
