input_artist_name,input_song_title,seed_artist_mbid,recording_title,recording_mbid,first_date,year,credited_artist_names,credited_artist_mbids,musicbrainz_score,lookup_strategy_used,lookup_status,country,period
Alyona Alyona,Відчиняй (Open Up),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Відчиняй,29aa3581-ea20-4223-8d5e-cecf0c3020c3,2020-08-20,2020,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre
Alyona Alyona,Голови (Heads),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Голови,ea0b532c-aaae-402d-a005-17e9d4f278a7,2018-11-15,2018,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre
Alyona Alyona,Залишаю свiй дiм (Leaving my home),1a6993eb-fa5b-42e2-a834-2a9539c53be1,,,,,,,,none,no_match,Ukraine,pre
Alyona Alyona,Велика й смiшна (Big & Funny),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Велика й смiшна,3b1f0ea1-bd0b-4a81-aea4-8604fdbec97b,2019-04-08,2019,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre
Alyona Alyona,Завтра (Tomorrow),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Завтра,bf70b1b2-50dd-4491-972f-340fbe7512e7,2019-09-27,2019,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre
Alyona Alyona,Падло (Padlo),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Падло,9311ebd0-d5c6-4a3b-971c-9711586955ca,2019-04-08,2019,alyona alyona | Alina Pash,1a6993eb-fa5b-42e2-a834-2a9539c53be1 | 95593341-529e-40e3-ad57-4622f2aacdf8,100,clean_artist_title,matched,Ukraine,pre
Alyona Alyona,Пушка (Bomb),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Пушка,205ab651-fc3b-4d5a-83d6-45a7e35eeb3e,2019-04-08,2019,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre
Alyona Alyona,Рибки 3 (Fishes 3),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Рибки 3,473c5941-5d07-4976-9087-473ab19c98d1,2019-04-08,2019,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre
Alyona Alyona,Як би я була не я (If I wasn’t myself),1a6993eb-fa5b-42e2-a834-2a9539c53be1,Як би я була не я,f224f3d3-f618-4536-b5d5-9c38f9ef82f5,2019-04-08,2019,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,clean_artist_title,matched,Ukraine,pre
Alyona Alyona,Dym,1a6993eb-fa5b-42e2-a834-2a9539c53be1,Dym,4acb5e79-fd83-4418-ad6d-a08a38d0dd44,2021-04-07,2021,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,exact_artist_title,matched,Ukraine,pre
Alyona Alyona,Pappi Pappi,1a6993eb-fa5b-42e2-a834-2a9539c53be1,Pappi Pappi,4c165226-7d25-4652-ab0e-48ff78126d1a,2021-04-07,2021,alyona alyona,1a6993eb-fa5b-42e2-a834-2a9539c53be1,100,exact_artist_title,matched,Ukraine,pre
Alyona Alyona,Shalom,1a6993eb-fa5b-42e2-a834-2a9539c53be1,Shalom,8d8c6425-dd35-4ad8-9acd-eb7e4c47d9ab,2021-02-26,2021,alyona alyona | Olexesh,1a6993eb-fa5b-42e2-a834-2a9539c53be1 | c4e16e8e-4ab7-4f35-ad58-24c00c76ac84,100,exact_artist_title,matched,Ukraine,pre
Alyona Alyona,Dai Boh,1a6993eb-fa5b-42e2-a834-2a9539c53be1,Dai Boh,1d275253-ebed-46f6-92b0-c4a6500d0166,2022-08-26,2022,alyona alyona | Jerry Heil | Monika Liu,1a6993eb-fa5b-42e2-a834-2a9539c53be1 | 218cf0a9-439e-472e-a2e6-65e208a102ac | 1db6fa57-63b8-449f-acc1-ea20f696d5ba,100,exact_artist_title,matched,Ukraine,post
Alyona Alyona,KUPALA,1a6993eb-fa5b-42e2-a834-2a9539c53be1,KUPALA,ae28253e-6221-48ae-94c7-3626e910fbd4,2022-07-08,2022,alyona alyona | Jerry Heil | Ela,1a6993eb-fa5b-42e2-a834-2a9539c53be1 | 218cf0a9-439e-472e-a2e6-65e208a102ac | ccc046ca-b523-4b07-92c6-aaa7040008e8,100,exact_artist_title,matched,Ukraine,post
Alyona Alyona,Рідні мої (My relatives),1a6993eb-fa5b-42e2-a834-2a9539c53be1,,,,,,,,none,no_match,Ukraine,post
George Wassouf,El Hawa Sultan - الهوى سلطان,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Helaf El Amar - حلف القمر,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Sayad Al Touyour - صياد الطيور,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Kalam Ennas - كلام الناس,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Laiel El Ashekin - ليل العاشقين,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Ana Asef - أنا آسف,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Tabeeb Garah - طبيب جراح,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Kedah Kifayah - كده كفاية,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Ma Teoulou Leeh - ما تقولو ليه,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Alb Al Asheq Daleiloh - قلب العاشق دليله,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Saber W Radi - صابر وراضي,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Salaf W Dayn - سلف ودين,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Sehert El Liel - سهرت الليل,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Khesert Koul El Nass - خسرت كل الناس,67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
George Wassouf,Lailat Wedaena (Ya Habibi) - ليلة وداعنا (يا حبيبي),67541793-5159-4f0d-a3a0-6b96163933f3,,,,,,,,none,no_match,Syria,pre
Jerry Heil,#ОХРАНА_ОТМЄНА (#SECURITY_CANCELLATION),218cf0a9-439e-472e-a2e6-65e208a102ac,#ОХРАНА_ОТМЄНА,ffed6ab1-3bbd-488e-82a8-57d602561bd2,2019-04-10,2019,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,clean_artist_title,matched,Ukraine,pre
Jerry Heil,#НЕБЕЙБІ (#NOTBABY),218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,pre
Jerry Heil,#ЗДН (#ZDN),218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,pre
Jerry Heil,ТУК ТУК ТУК (KNOCK KNOCK KNOCK),218cf0a9-439e-472e-a2e6-65e208a102ac,ТУК ТУК ТУК,e666560b-3c89-4b6b-94ec-eb518751df08,2025-06-16,2025,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,clean_artist_title,matched,Ukraine,pre
Jerry Heil,WHEN GOD SHUT THE DOOR,218cf0a9-439e-472e-a2e6-65e208a102ac,WHEN GOD SHUT THE DOOR,d27f591f-e963-446d-bb43-a639e265c867,2025-06-16,2025,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,exact_artist_title,matched,Ukraine,post
Jerry Heil,Сонце Монако (Sun Monaco),218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,post
Jerry Heil,BRONIA,218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,post
Jerry Heil,ТРИ ПОЛОСИ (Three Stripes),218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,post
Jerry Heil,#AllEyesOnKids,218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,post
Jerry Heil,ГУБИ У ГУБАХ (LIPS IN LIPS),218cf0a9-439e-472e-a2e6-65e208a102ac,,,,,,,,none,no_match,Ukraine,post
Jerry Heil,СНІГ (SNOW),218cf0a9-439e-472e-a2e6-65e208a102ac,СНІГ,cbf6edaf-aeb7-4d83-9aeb-24014af4bb08,2025-05-02,2025,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,clean_artist_title,matched,Ukraine,post
Jerry Heil,Earth (Dradada),218cf0a9-439e-472e-a2e6-65e208a102ac,Earth (Dradada),cecf5f41-8733-47af-81c7-7fe3fa13a46e,2025-10-22,2025,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,exact_artist_title,matched,Ukraine,post
Jerry Heil,LOVE ME HARD,218cf0a9-439e-472e-a2e6-65e208a102ac,LOVE ME HARD,dc7423ce-95bc-43a3-bbdf-671fceceff01,2025-05-02,2025,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,exact_artist_title,matched,Ukraine,post
Jerry Heil,ВИМОЛИВ (PRAYED FOR YOU),218cf0a9-439e-472e-a2e6-65e208a102ac,ВИМОЛИВ,2b72032e-078f-4b7a-9afe-f3f7dcd0e518,2025-03-07,2025,Jerry Heil | MONATIK | Evgeny Khmara,218cf0a9-439e-472e-a2e6-65e208a102ac | c0199391-00f4-483a-aa8a-d1fe27d05dc6 | 61d2d352-082a-4d63-8396-044ffad8bdd6,100,clean_artist_title,matched,Ukraine,post
Jerry Heil,Додай гучності (12 points),218cf0a9-439e-472e-a2e6-65e208a102ac,Додай гучності (12 points),5848e785-9bdb-4166-87c8-c840157dbd0b,2025-08-28,2025,Jerry Heil,218cf0a9-439e-472e-a2e6-65e208a102ac,100,exact_artist_title,matched,Ukraine,post
Noize MC,Выдыхай (Exhale),a0c5737e-da6d-468f-a78e-19146494f1db,Выдыхай,3c32b3e7-f21d-4935-bcac-d9c0df46db68,2008-06-17,2008,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Моё море (My Sea),a0c5737e-da6d-468f-a78e-19146494f1db,Моё море,cc13a74d-d4ea-4c74-b77b-8d92d1865429,2009-01-01,2009,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Из окна (From the window),a0c5737e-da6d-468f-a78e-19146494f1db,Из Окна,05eb7fdb-883b-40dd-8d6c-655ae68cdd0f,2011-10-16,2011,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,На Марсе классно (It’s Cool on Mars),a0c5737e-da6d-468f-a78e-19146494f1db,На Марсе Классно,bf8caa89-8e7e-438c-945d-e2c33b2c31f9,2011-07-12,2011,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Ты не считаешь (You Don’t Count),a0c5737e-da6d-468f-a78e-19146494f1db,Ты не считаешь,ad698982-96c3-40ec-8de3-4b39754554ff,2010-05-25,2010,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Устрой дестрой (Make Destroy),a0c5737e-da6d-468f-a78e-19146494f1db,Устрой дестрой,3c0adec2-214f-461c-b6c0-afd61b97f1c5,2010-09-17,2010,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Yes Future!,a0c5737e-da6d-468f-a78e-19146494f1db,Yes Future,5329a0d3-6020-4aa2-a8ff-9acf5b26b289,2012,2012,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,exact_artist_title,matched,Russia,pre
Noize MC,Вселенная бесконечна? (Is the Universe Infinite?),a0c5737e-da6d-468f-a78e-19146494f1db,Вселенная Бесконечна,3375e0f3-ee11-4e1d-9fe9-262600d72863,2014-10-07,2014,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Жвачка (Chewing Gum),a0c5737e-da6d-468f-a78e-19146494f1db,Жвачка,fc6233ad-9252-4db0-b24c-3811eba3fa09,2019-11-09,2019,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Иордан (Jordan),a0c5737e-da6d-468f-a78e-19146494f1db,Иордан,a1d65b54-8e4b-478e-9450-53785836c9bf,2019-11-09,2019,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Грабли (Rake),a0c5737e-da6d-468f-a78e-19146494f1db,Грабли,1e389a46-a7bc-456c-bebb-c9f73d8af435,2016-12-16,2016,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Любимый цвет (Favourite color),a0c5737e-da6d-468f-a78e-19146494f1db,Любимый цвет,ee2c4240-4aae-42a7-847e-b951b14178d1,2016-12-16,2016,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,Чайлдфри (Childfree),a0c5737e-da6d-468f-a78e-19146494f1db,Чайлдфри (инструментал),fad83e25-b5ca-4596-9045-57720e6f365f,2017-06-08,2017,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,В темноте (In Darkness),a0c5737e-da6d-468f-a78e-19146494f1db,В темноте,93fdafb6-00a3-4951-b302-e39012ee97be,2018-11-08,2018,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Noize MC,"Детка, послушай (Babe, Listen)",a0c5737e-da6d-468f-a78e-19146494f1db,"Детка, послушай",ce87bf06-1e8b-425b-bc7f-90ca06a66493,2018-11-08,2018,Noize MC,a0c5737e-da6d-468f-a78e-19146494f1db,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Восточный Мордор (East Mordor),fb2a8279-79cf-4849-b692-1ce674709159,Восточный Мордор,5960622c-8db2-4c76-93c9-a7314e5c36e5,2011-09-03,2011,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Тентакли (Tentacles),fb2a8279-79cf-4849-b692-1ce674709159,Тентакли,5297c6c2-1795-48d4-a6bb-de256f2ce5a8,2011-09-03,2011,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Неваляшка (Tumbler Toy),fb2a8279-79cf-4849-b692-1ce674709159,Неваляшка,5ffdde67-1be2-439b-8693-9fb1890399fa,2013-10-18,2013,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Песенка Гремлина (Gremlin’s Song),fb2a8279-79cf-4849-b692-1ce674709159,Песенка гремлина,a8dfb972-b2ad-43c7-b48c-b551134acf2c,2013-10-18,2013,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,До зимы (Until Winter),fb2a8279-79cf-4849-b692-1ce674709159,До зимы,026b2b2b-c74f-474c-a437-653c632400ff,2013-10-18,2013,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Башня из слоновой кости (Ivory Tower),fb2a8279-79cf-4849-b692-1ce674709159,Башня из слоновой кости,07b7667c-7bda-4b09-a8ff-2b43b53633a5,2015-11-13,2015,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,«Где нас нет» (”On the Other Side”),fb2a8279-79cf-4849-b692-1ce674709159,“Где нас нет”,7b320c5b-5943-44a1-a0dd-011628a18b5e,2015-11-13,2015,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
Oxxxymiron,Город под подошвой (City Under the Sole),fb2a8279-79cf-4849-b692-1ce674709159,Город под подошвой,d095e630-f93c-4581-92a2-837dc43a82d2,2021-11-12,2021,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre
