artist,country,song_title,lyrics,compound,positive,negative,neutral
Jamala,Ukraine,1944,"[Verse 1]
When strangers are coming
They come to your house
They kill you all
And say
We’re not guilty
Not guilty

[Pre-Chorus]
Where is your mind?
Humanity cries
You think you are gods
But everyone dies
Don't swallow my soul
Our souls

[Chorus]
Yaşlığıma toyalmadım
Men bu yerde yaşalmadım
Yaşlığıma toyalmadım
Men bu yerde yaşalmadım

[Verse 2]
We could build a future
Where people are free
To live and love
The happiest time
Hard time

[Pre-Chorus]
Where is your heart?
Humanity rise
You think you are gods
But everyone dies
Don't swallow my soul
Our souls

[Chorus]
Yaşlığıma toyalmadım, ooh
Men bu yerde yaşalmadım, aah
Yaşlığıma toyalmadım, ooh
Men bu yerde yaşalmadım, ooh
Aman, aman

[Bridge]
Aah....
Aah....

[Chorus]
(Yaşlığıma toyalmadım)
Aah...
Men bu yerde yaşalmadım
Aah...
(Yaşlığıma toyalmadım, ooh)
Aah...
Vatanıma toyalmadım",0.9686,0.152,0.05,0.798
Jamala,Ukraine,Крила (Wings),"[Текст пісні «Крила»]

[Куплет 1]
Я вмію літати, але хочу його крила
І в темряві сяють ,але він для мене світило
Я вільна мов птаха ,але хочу його небо
З усіх скарбів світу мені лише його дотик треба

[Приспів]
Чому ти обрав мене?
І цей дивний шлях зі мною
На ньому багато каміння є
На ньому гора за горою
Чому ти несеш мене?
Коли далі йти не сила
Коли я в обіймах зневіри
Знімаєш для мене ти крила

[Постприспів]
У-уууу Крила
У-уууу Крила
У-уууу Крила
У-уууу Крила

[Куплет 2]
Я довго шукала у темряві у небі по хвилях
Повірила в себе, але хочу лише його крила

[Приспів]
Чому ти обрав мене?
І цей дивний шлях зі мною
На ньому багато каміння є
На ньому гора за горою
Чому ти несеш мене?
Коли далі йти не сила
Коли я в обіймах зневіри
Знімаєш для мене ти крила

[Бридж]
І вчиш не зупинятись ніколи
Хоча через каміння та гори йти
На ньому так важко втрачати
Бувають злі люди, байдужі
А ти кажеш треба вибачати
Несеш мене через калюжі
А я сама вже вмію літати
Але хочу лише його крила
А я давно вже вмію кохати
Але ніколи так не любила

[Приспів]
Чому ти обрав мене?
І цей дивний шлях зі мною
На ньому багато каміння є
На ньому гора за горою
Чому ти несеш мене?
Коли далі йти не сила
Коли я в обіймах зневіри
Знімаєш для мене ти крила

[Аутро]
У-уууу Крила
У-уууу Крила",0.0,0.0,0.0,1.0
Jamala,Ukraine,Обещание (Promise),"[Verse 1]
Вновь разлука или ноль?
Ты сыграй Шопена
Forte - радость, piano - боль
Чтоб душа запела
И летело, и неслось
Ритмом, полутоном
Чтоб исполнилось, сбылось
Мир над нашим домом

[Chorus]
Ты вернёшься, обещай, мне играть Шопена
Ты вернёшься, обещай, мне играть...

[Verse 2]
А в окне лишь пустота
Клавиши разбиты
Но запретная любовь
Мною не забыта
Пусть лишь сердце, пусть едва
Как детская обида

Ты вернёшься, обещай, мне сыграть...

[Chorus]
Ты вернёшься, обещай, мне играть Шопена
Ты вернёшься, обещай, мне играть...
Ты вернёшься, обещай, мне играть Шопена
Ты вернёшься, обещай, мне играть...

[Outro]
Вновь разлука или ноль?
Ты сыграй...",0.0,0.0,0.0,1.0
Kalush Orchestra,Ukraine,Ushme Uturbe,"[Інтро: KALUSH]
Ushme uturbe

[Передриспів: bbno$ & KALUSH]
Crash, bang, boom
I say crash, bang, boom
Crash, bang, boom
I say crash, bang, Uturbe
Everytime I'm in a room I make a hit like boom
Crash, bang, boom
I say-
Ushme uturbe

[Приспів: bbno$ & KALUSH]
Uturbe
Ushme uturbe
Crash, bang, boom
I say crash, bang, boom
Crash, bang, boom
I say crash, bang, Uturbe
Everytime I'm in a room I make a hit like boom
Crash, bang, boom
I say-
Ushme uturbe

[Куплет 1: bbno$]
Boom (Boom), fireworks (Yeah)
I knew I would blow up (Huh?)
Found a lining (Zoom), I just gotta show up
Get that bag (Bag), green (Green)
Watch my money grow up
Every day I brush my teeth, they're getting dirty from the soda
Nice to meet you, my money Machu Picchu
Make waves, I'm on the ski, dude
Big splash, she call on me too
Yeah, wet my top, it see-through
Have once, I need a re-do
Have twice, I think I need you
Have thrice, I think I'll leave you
I think I'll leave you (Leave you, leave you)
I think I'll leave you, if you ain't got money (Ooh)
Yeah, she love my body (Ay)
And she clean it for me (Ah)
I can make it groovy (Yeah)
We can make a movie
Up in the club we can film that shit
Step on stage in a brand new fit
Honeys on me, let's spend bucks

[Брейк: bbno$ & KALUSH]
Shh, rizz
Ushme uturbe

[Приспів: bbno$ & KALUSH]
Uturbe
Ushme uturbe
Crash, bang, boom
I say crash, bang, boom
Crash, bang, boom
I say crash, bang, Uturbe
Everytime I'm in a room I make a hit like boom
Crash, bang, boom
I say-
Ushme uturbe

[Куплет 2: KALUSH, & Тимофій Музичук]
Що би не робили люди з дуру
Щоби не давали мені даром
Може навіть dolla дали фуру
Щоби не базарили, не буду
В Калуші не хавали Ред Була
Тебе не лякатиме акулу
Спати вже не вийде, вийди з гула
Я не перейматимусь по факту
Факти, де всі ці тіпи, це пахне ніби пахва
Попахуй, є тільки доки паля ніби факи фокус
Доведе, доведе доля мене, як би там не було, вирулю
Завжди буде саме так, як треба
Адже дуже вправно я рулю

[Рефрен: Тимофій Музичук]

[Приспів: bbno$, KALUSH]
Ushme uturbe
Crash, bang, boom
I say crash, bang, boom
Crash, bang, boom
I say crash, bang, Uturbe
Everytime I'm in a room I make a hit like oh
Crash, bang, boom
I say-
Ushme uturbe

[Рефрен: Тимофій Музичук]

[Аутро: KALUSH]
Ushme uturbe",-0.9812,0.067,0.136,0.797
Kalush Orchestra,Ukraine,Нумо козаки (Numo Kozaky),"[Текст пісні «Нумо, козаки» ft. KOZAK SIROMAHA]

[Куплет 1: KOZAK SIROMAHA]
Ширше, ширше, ширше крок
Звідсіля та й до зірок!
Ширше, швидше, козаки
Звідсіля та й до мети!
Щоб в дорозі не сумувати
Козак має заспівати!
Щоб в дорозі не сумувати
Козак має заспівати!

[Приспів: KOZAK SIROMAHA]
(Гей!) Нумо, козаки, по конях!
(Нумо, козаки, гей!)
Крадуть русаки наш сонях
(Крадуть русаки)
Нумо, козаки, по конях!
(Нумо, козаки, гей!)
Крадуть русаки наш сонях
(Крадуть русаки)

[Куплет 2: KALUSH]
Біля джерела, шо манило здалека
Шо поїло козака, написали вилами
Я не буду лопати кидати по черепах тих
Поки плі, тільки так, шоб нашу ціль не налякати
Ми своє заберем, ми берем, все ще попереду
Я вірю, шо за берег заженем, це палюбе!
А з нами буде сонце, а небо, ніби концерт!
На феєрверк гонцем (Полетіли, плі)

[Передприспів: KOZAK SIROMAHA]
Щоб в дорозі не сумувати
Козак має заспівати!

[Приспів: KOZAK SIROMAHA]
(Гей!) Нумо, козаки, по конях!
(Нумо, козаки, гей!)
Крадуть русаки наш сонях
(Крадуть русаки)
Нумо, козаки, по конях!
(Нумо, козаки, гей!)
Крадуть русаки наш сонях
(Крадуть русаки)

[Куплет 3: KOZAK SIROMAHA]
Козаки йдуть від Сяну до Дону!
Козаки несуть звитягу додому!
Козаки будуть в серці повсяк час!
Козаки живуть в кожному із нас!
Козаки йдуть від Сяну до Дону!
Козаки несуть звитягу додому!
Козаки будуть в серці повсяк час!
Козаки живуть в кожному із нас!",0.0,0.0,0.0,1.0
Kalush Orchestra,Ukraine,Коли (When),"Колись будемо сивими
Стояти вдвох над схилами
Я все іще закоханим
Ти все іще красивою

Колись будемо сивими
Стояти вдвох над схилами
Я все іще закоханим
Ти все іще красивою

І скільки б вокзал не завадив нам
І не була ти в мережі, в мережі
Лиш твої обійми для мене храм
Я в них бачу світло вночі, уночі

Так в нас давно з тобою повелося
Було різне з одних помилок
У сварках всі образи на волоссі
Мотала, я розплутав клубок

Плакати ніяк наодинці
І сміятися – то завжди удвох
Бо так кохають лиш одиниці
Як ми любим, то знає лиш Бог

Колись будемо сивими
Стояти вдвох над схилами
Я все іще закоханим
Ти все іще красивою

Колись будемо сивими
Стояти вдвох над схилами
Я все іще закоханим
Ти все іще красивою

І скільки б вокзал не завадив нам
І не була ти в мережі, в мережі
Лиш твої обійми для мене храм
Я в них бачу світло вночі, уночі

І скільки б вокзал не завадив нам
І не була ти в мережі, в мережі
Лиш твої обійми для мене храм
Я в них бачу світло вночі, уночі

Хто продав любов
Я знаю точно
Той товар ніщо (і ще тупа ціна)
Обіймаю, окситоцинових піків скільки знову (знаю я)

В будні дні любов
Провіряє почуття
Знаю я, шо той, хто пройде тест
Пройде рівень, де ти ще не був",0.0,0.0,0.0,1.0
Okean Elzy,Ukraine,Обійми (Hug),"[Куплет 1]
Коли настане день
Закінчиться війна
Там загубив себе
Побачив аж до дна

[Приспiв]
Обійми мене, обійми мене, обійми
Так лагідно і не пускай
Обійми мене, обійми мене, обійми
Твоя весна прийде нехай

[Куплет 2]
І от моя душа
Складає зброю вниз
Невже таки вона
Так хоче теплих сліз?

[Приспiв]
Обійми мене, обійми мене, обійми
Так лагідно і не пускай
Обійми мене, обійми мене, обійми
Твоя весна прийде нехай
Об-об-обійми
Обійми мене
Обійми мене, обійми мене, обійми
I бiлше так не вiдпускай
Обійми мене, обійми мене, обійми
Твоя весна прийде нехай",0.0,0.0,0.0,1.0
Okean Elzy,Ukraine,Без бою (Without a Fight),"[Текст пісні «Без бою»]

[Куплет 1]
Що ж це я, що ж це я не зумів
Зупинитися вчасно, все ясно
Зі мною тепер і назавжди, пізно не йти
Не йди від мене
Ран-вап-па-ру-рі бам-бай

[Брідж]
Я налию собі, я налию тобі вина
А хочеш із медом

[Передприспів]
Хто ти є? Ти взяла моє життя
І не віддала
Хто ти є? Ти випила мою кров
І п'яною впала
Твої очі, кличуть, хочуть мене
Ведуть за собою
Хто ти є? Ким би не була ти

[Приспів]
Я не здамся без бою!
Я не здамся без бою!

[Куплет 2]
Що ж це я, що ж це я не зумів
Зупинити себе, тебе, сьогодні
Сьогодні так дує, без тебе сумую
Сумую без тебе, накинь щось на себе
Ран-вап-па-ру-рі бам-бай

[Брідж]
Я налию собі, я налию тобі вина
А хочеш із медом

[Передприспів]
Хто ти є? Ти взяла моє життя
І не віддала
Хто ти є? Ти випила мою кров
І п'яною впала
Твої очі, кличуть, хочуть мене
Ведуть за собою
Хто ти є? Ким би не була ти

[Приспів]
Я не здамся без бою!
Я не здамся без бою!

[Брідж]
Я налию собі, я налию тобі вина
А хочеш із медом

[Передприспів]
Хто ти є? Ти взяла моє життя
І не віддала
Хто ти є? Ти випила мою кров
І п'яною впала
Твої очі, кличуть, хочуть мене
Ведуть за собою
Хто ти є? Ким би не була ти

[Приспів]
Я не здамся без бою!
Я не здамся без бою!
Я не здамся без бою!",0.0,0.0,0.0,1.0
Okean Elzy,Ukraine,На небі (In the sky),"[Текст пісні «На небі»]

[Куплет 1]
Там, де для когось тільки лютий за вікном
На моїй вулиці давно уже весна
І дух захоплює, немов від висоти
Бо так живу немов літаю я
Так, немов літаю я
Кожну мить, коли зі мною ти

[Приспів]
І я на небі
Мила моя, на небі
Зоре моя, на небі
Відколи тебе знайшов
І я на небі
Мов на земному небі
Мила, коли з тобою
Літаю і знов, і знов

[Куплет 2]
І я не знаю, як світанок настає
І як закінчився улюблений альбом
Бо не бажаю ні хвилини самоти
І так живу, немов літаю я
Так, немов літаю я
Кожну мить, коли зі мною ти

[Приспів]
І я на небі
Мила моя, на небі
Зоре моя, на небі
Відколи тебе знайшов
І я на небі
Мов на земному небі
Мила, коли з тобою
Літаю і знов, і знов

[Брідж]
А часом коли я сам не свій
І в голові дивні думки
І на душі сумно
Згадую я очі твої
І все стає мов навпаки
Теплим таким

[Приспів]
І я на небі
Мила моя, на небі
Зоре моя, на небі
Відколи тебе знайшов
І я на небі
Мов на земному небі
Мила, коли з тобою
Літаю і знов, і знов
І я на небі
Мила моя, на небі
Зоре моя, на небі
Відколи тебе знайшов
І я на небі
Мов на земному небі
Мила, коли з тобою
Літаю і знов, і знов
Літаю і знов, і знов
Літаю і знов, і знов",0.0,0.0,0.0,1.0
Antytila,Ukraine,TDME,"[Verse 1]
Тихо тихо, стоп марафон
Ти прокидаєшся, це був лиш сон
Немає фейків, лукавих слів
Чистий розум замість голів
Хто малював на екрані фільм?
Хто давав ролі і наносив грим?
Хто лише лялька, а хто Карабас?
Зрозуміти саме час

[Pre-Chorus]
У-у-у
Часом виє вітер і човен на воді гойдає
У-у-у
Нічого не бійся, в кінці сценарію happy end

[Chorus]
Там, де ми є!
Там, де ми є!
Там, де ми є!
Там, де ми є!

На стороні екрану
На тій стороні екрану
На стороні екрану
На тій стороні екрану

[Verse 2]
Люби вільно, цілуй поволі
Прощай швидко, або ніколи
Часу мало, маєш дійти
Хочеш правди? Мусиш знайти
Люди далі прокидаються
Люди далі не ховаються
Нова глибина напроти нас
Ось такий цікавий час...

[Pre-Chorus]
У-у-у
Часом виє вітер і човен на воді гойдає
У-у-у
Нічого не бійся, в кінці сценарію happy end

[Chorus]
Там, де ми є!
Там, де ми є!
Там, де ми є!
Там, де ми є!

На стороні екрану
На тій стороні екрану
На стороні екрану
На тій стороні екрану

(У-у-у
У-у-у)",0.8892,0.052,0.0,0.948
