name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Vladimir Horowitz,Q192506,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Vladimir_Horowitz
Milla Jovovich,Q170576,Ukraine,Kyiv,Los Angeles,https://en.wikipedia.org/wiki/Milla_Jovovich
Sergei Prokofiev,Q49481,Ukraine,Sontsivka,Russian Empire,https://en.wikipedia.org/wiki/Sergei_Prokofiev
Pavel Gililov,Q107449,Ukraine,Donetsk,Soviet Union,https://en.wikipedia.org/wiki/Pavel_Gililov
Moriz Rosenthal,Q213772,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Moriz_Rosenthal
Władysław Tarnowski,Q93817,Ukraine,Voroblevychi,Austria–Hungary,https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Tarnowski
Norbert Glanzberg,Q213834,Ukraine,Rohatyn,Austria–Hungary,https://en.wikipedia.org/wiki/Norbert_Glanzberg
Eduard Steuermann,Q214108,Ukraine,Sambir,United States,https://en.wikipedia.org/wiki/Eduard_Steuermann
Taras Chubay,Q82262,Ukraine,Lviv,Soviet Union,https://en.wikipedia.org/wiki/Taras_Chubay
Aleksander Serov,Q4417712,Ukraine,Kovalivka,Russia,https://en.wikipedia.org/wiki/Aleksander_Serov
Anna Fedorova,Q125885,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Anna_Fedorova
Ruslana Lyzhychko,Q129119,Ukraine,Lviv,Soviet Union,https://en.wikipedia.org/wiki/Ruslana
Sviatoslav Richter,Q124890,Ukraine,Zhytomyr,Russia,https://en.wikipedia.org/wiki/Sviatoslav_Richter
Naftule Brandwein,Q1351126,Ukraine,Peremyshliany,Austria–Hungary,https://en.wikipedia.org/wiki/Naftule_Brandwein
Karol Rathaus,Q84660,Ukraine,Ternopil,Austria,https://en.wikipedia.org/wiki/Karol_Rathaus
Evgeni Orkin,Q1382335,Ukraine,Lviv,Ukraine,https://en.wikipedia.org/wiki/Evgeni_Orkin
Emil Paur,Q78982,Ukraine,Chernivtsi,Místek,https://en.wikipedia.org/wiki/Emil_Paur
Adolph Baller,Q86412,Ukraine,Brody,Austria,https://en.wikipedia.org/wiki/Adolph_Baller
Yuri Stoyanov,Q26688,Ukraine,Odesa,Russia,https://en.wikipedia.org/wiki/Yuri_Stoyanov
Vitaly Margulis,Q323937,Ukraine,Kharkiv,Soviet Union,https://en.wikipedia.org/wiki/Vitaly_Margulis
Zsuzsanna Sirokay,Q227401,Ukraine,Uzhhorod,Hungary,https://en.wikipedia.org/wiki/Zsuzsanna_Sirokay
Ilona Štěpánová-Kurzová,Q292530,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Ilona_%C5%A0t%C4%9Bp%C3%A1nov%C3%A1-Kurzov%C3%A1
Karol Szymanowski,Q295400,Ukraine,Tymoshivka,Zakopane,https://en.wikipedia.org/wiki/Karol_Szymanowski
Mykola Lysenko,Q172425,Ukraine,Hrynky,Kyiv,https://en.wikipedia.org/wiki/Mykola_Lysenko
Samuel Maykapar,Q175282,Ukraine,Kherson,Russian Empire,https://en.wikipedia.org/wiki/Samuel_Maykapar
Ignacy Jan Paderewski,Q191957,Ukraine,Kurilivka,Warsaw,https://en.wikipedia.org/wiki/Ignacy_Jan_Paderewski
Zara Levina,Q385608,Ukraine,Simferopol,Soviet Union,https://en.wikipedia.org/wiki/Zara_Levina
Shloimke (Sam) Beckerman,Q7499550,Ukraine,Chudniv,United States,https://en.wikipedia.org/wiki/Shloimke_Beckerman
Valentina Lisitsa,Q253233,Ukraine,Kyiv,Russia,https://en.wikipedia.org/wiki/Valentina_Lisitsa
Lubka Kolessa,Q274423,Ukraine,Lviv,Canada,https://en.wikipedia.org/wiki/Lubka_Kolessa
Simon Barere,Q268900,Ukraine,Odesa,United States,https://en.wikipedia.org/wiki/Simon_Barere
Marcella Sembrich,Q265698,Ukraine,Vyshnivchyk,Poland,https://en.wikipedia.org/wiki/Marcella_Sembrich
Dmitry Pokrass,Q368695,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Dmitry_Pokrass
Reinhold Glière,Q316795,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Reinhold_Gli%C3%A8re
Emil Gilels,Q319732,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Emil_Gilels
Dimitri Tiomkin,Q317033,Ukraine,Kremenchuk,Hollywood,https://en.wikipedia.org/wiki/Dimitri_Tiomkin
