artist,country,song_title,year,compound,period
DAM,Palestine,"Mama, I Fell in Love with a Jew - وقعت بحب يهوديه",2012,0.9998,pre
George Wassouf,Syria,El Hawa Sultan - الهوى سلطان,1984,0.9997,pre
Warda Al-Jazairia,Syria,Hobak Salehne - حبك صالحني,,0.9997,post
Mayada El Hennawy,Syria,Galak Kalamy - جالك كلامي,,0.9997,post
Samo Zaen,Syria,Ana Leek - أنا ليك,,0.9997,post
Warda Al-Jazairia,Syria,Wahashtony - وحشتوني,,0.9996,post
Warda Al-Jazairia,Syria,Ya Sidi - يا سيدي,,0.9996,post
Mayada El Hennawy,Syria,Ana Baashaak - أنا بعشقك,,0.9996,post
Jamala,Ukraine,Thank You,2014,0.9994,pre
Khrystyna Soloviy,Ukraine,Forest song (Original Soundtrack «Mavka. The Forest Song),2023,0.9994,post
Monetochka,Russia,Селфхарм (Selfharm),,0.9994,post
IC3PEAK,Russia,Весело и грустно (Happy and Sad),,0.9994,post
Warda Al-Jazairia,Syria,Haramt Ahebak - حرمت أحبك,,0.9992,post
Pussy Riot,Russia,Police State,2017,0.9991,pre
Warda Al-Jazairia,Syria,Batwanes Beek - بتونس بيك,,0.9991,post
Mayada El Hennawy,Syria,Ahebany Kama Ana - أحبني كما أنا,,0.9991,post
Saint Levant,Palestine,DO YOU LOVE ME? - سنيورة,2025,0.999,post
Mayada El Hennawy,Syria,Ana Mokhlesalak - أنا مخلصالك,,0.999,post
Dudu Aharon,Israel,Hasimcha Shelanu - השמחה שלנו,,0.999,post
Yasmin Levy,Israel,Hallelujah,2009,0.9989,pre
